Dataset,Generator,Feature,Metric,Value,Mean,Std,Experiment,SourceFile
2. Alzhimers,CTABGAN,Visit,JS_Divergence,0.324626,0.324626,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,SES,JS_Divergence,0.231772,0.231772,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,EDUC,JS_Divergence,0.218008,0.218008,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,MMSE,JS_Divergence,0.198059,0.198059,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,CDR,JS_Divergence,0.116243,0.116243,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,MR Delay,JS_Divergence,0.087298,0.087298,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,ASF,JS_Divergence,0.038429,0.038429,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,Age,JS_Divergence,0.034196,0.034196,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,eTIV,JS_Divergence,0.031741,0.031741,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CTABGAN,nWBV,JS_Divergence,0.030828,0.030828,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,Visit,JS_Divergence,0.626113,0.626113,,feature_fidelity,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
