Dataset,Generator,TaskType,Utility,Privacy,Fidelity,UtilityRaw,PrivacyRaw,FidelityRaw,CompositeScore,CompositeRank
6. Wine dataset,ForestDiffusion,classification,1.0,0.6812254467515171,0.4922937223802892,0.5767777777777777,,,0.7520557507395419,2.0
6. Wine dataset,WGAN_GP,classification,0.5263763239661475,0.6812254467515171,0.4922937223802892,0.42349999999999993,,,0.5626062803260009,3.0
6. Wine dataset,CTABGAN,classification,0.48002677973666597,0.6812254467515171,0.4922937223802892,0.4085,,,0.5440664626342083,4.0
6. Wine dataset,TabDDPM,classification,0.4431188093317085,0.6812254467515171,0.4922937223802892,0.3965555555555556,,,0.5293032744722252,5.0
6. Wine dataset,GaussianCopula,classification,0.4604054726795186,0.0,1.0,0.40214999999999995,1126.196599378369,0.9564176469877949,0.4841621890718074,6.0
6. Wine dataset,CopulaGAN,classification,0.11989082107359297,0.9069065500137146,0.0,0.29195000000000004,1107.9028812324789,0.8724975797402129,0.32002829343355155,7.0
6. Wine dataset,CTGAN,classification,0.0,1.0,0.021248259579878297,0.25315,1106.0250412992996,0.8742807351130504,0.3063744778739635,8.0
7. CDC diabetes dataset,TVAE,classification,0.6774079046327065,1.0,0.8576166397117545,0.8293580813677378,700.8337955036237,0.9208266785803181,0.8282481537666089,1.0
7. CDC diabetes dataset,WGAN_GP,classification,0.9410420957187307,0.7407303412212735,0.5061160357852075,0.8442019550419502,,,0.7504707513894366,2.0
7. CDC diabetes dataset,TabDDPM,classification,0.8949364241482792,0.7407303412212735,0.5061160357852075,0.8416059838530948,,,0.732028482761256,3.0
7. CDC diabetes dataset,CTGAN,classification,1.0,0.9970458691610874,0.0,0.8475215687826501,700.8699274183001,0.8782626074242468,0.6991137607483262,4.0
7. CDC diabetes dataset,GaussianCopula,classification,0.8722859894145667,0.0,1.0,0.8403306553743866,713.0647753236268,0.9278932572800811,0.6489143957658268,5.0
7. CDC diabetes dataset,CTABGAN,classification,0.6843769988261814,0.7407303412212735,0.5061160357852075,0.8297504749089757,,,0.6478047126324169,6.0
7. CDC diabetes dataset,CopulaGAN,classification,0.4719443878232387,0.9658754957240063,0.16684750342907556,0.8177894965964857,701.251171626791,0.8865433574462553,0.5285946548752201,7.0
7. CDC diabetes dataset,ForestDiffusion,classification,0.0,0.7407303412212735,0.5061160357852075,0.7912167563716954,,,0.37405391310194425,8.0
8. Mushroom dataset,ForestDiffusion,classification,1.0,0.6239120009043568,0.5644554816623172,0.7637214915931414,,,0.7565102447700022,1.0
8. Mushroom dataset,TVAE,classification,0.4240556487620484,0.6888293284232436,1.0,0.6034201764607958,1668.1556632416452,0.9186482825009087,0.6762710580317923,2.0
8. Mushroom dataset,WGAN_GP,classification,0.641240732931997,0.6239120009043568,0.5644554816623172,0.663868819710338,,,0.613006537942801,3.0
8. Mushroom dataset,CopulaGAN,classification,0.24002715449050954,0.806818675194184,0.39040884474001813,0.5521999334110206,1668.1263344951897,0.8965757655097292,0.45517911777646447,4.0
8. Mushroom dataset,CTABGAN,classification,0.23659396560231807,0.6239120009043568,0.5644554816623172,0.5512443815548527,,,0.4511478310109295,5.0
8. Mushroom dataset,GaussianCopula,classification,0.31703764844504606,0.0,0.8674130819092504,0.5736340935575162,1668.3268863331987,0.9138474795740387,0.3870389839507935,6.0
8. Mushroom dataset,CTGAN,classification,0.20630833505291812,1.0,0.0,0.5428150491093724,1668.0783151930218,0.8824395599813605,0.3825233340211672,7.0
8. Mushroom dataset,TabDDPM,classification,0.0,0.6239120009043568,0.5644554816623172,0.48539370734143505,,,0.3565102447700022,8.0
9. MAGIC Gamma Telescope,ForestDiffusion,classification,1.0,0.9996182921982331,0.32795020974830186,0.8095084121976865,168.90455217511038,,0.7982705505839606,1.0
9. MAGIC Gamma Telescope,WGAN_GP,classification,0.9553327788235645,1.0,0.32795020974830186,0.8014616193480547,168.29867301654704,,0.7805181744539164,2.0
9. MAGIC Gamma Telescope,CTABGAN,classification,0.8933444235287257,0.9994632900972054,0.32795020974830186,0.7902944269190326,169.15058472176392,,0.7555618193651424,3.0
9. MAGIC Gamma Telescope,TVAE,classification,0.6992222270863429,0.0002533789039209644,1.0,0.7553233438485804,1755.1817253469828,0.9332152902390113,0.5797649045057134,4.0
9. MAGIC Gamma Telescope,TabDDPM,classification,0.0,0.9976549414333673,0.32795020974830186,0.6293585699263933,172.02094985908516,,0.39768154535450073,5.0
9. MAGIC Gamma Telescope,GaussianCopula,classification,0.6023873104816945,0.000415553703313587,0.17376648022373106,0.7378785488958991,1754.9243076821058,0.8995954451496567,0.29320953437079117,6.0
9. MAGIC Gamma Telescope,CTGAN,classification,0.5624480147091018,0.0,0.1380343587694763,0.73068349106204,1755.5839099405246,0.8981414876918047,0.26638951351448364,7.0
9. MAGIC Gamma Telescope,CopulaGAN,classification,0.6094791985874597,0.0003491697583786202,0.0,0.7391561514195584,1755.0296779378698,0.8925248022781037,0.24389643036249747,8.0
Eshop_Price_Regression_Hungarian_Mahalanobis,GaussianCopula,classification,0.613612478420689,1.0,0.5073753258679131,,1.260815361113347,,0.6976575891286496,1.0
Eshop_Price_Regression_Hungarian_Mahalanobis,CTGAN,classification,0.613612478420689,0.9622026428031479,0.5073753258679131,,1.289644203303866,,0.6863183819695939,2.0
