Dataset,Generator,RegressionModel,Metric,EvaluationType,Mean,Std,Count,CI_Low,CI_High
10. Metro interstate,CopulaGAN,ElasticNet,MAE,TSTR,1854.940443551811,0.0,2,1854.940443551811,1854.940443551811
10. Metro interstate,CopulaGAN,ElasticNet,MSE,TRTR,3965376.037678151,4.656612873077393e-10,2,3965376.0376781505,3965376.0376781514
10. Metro interstate,CopulaGAN,ElasticNet,MSE,TSTR,4189918.106906672,4.656612873077393e-10,2,4189918.1069066715,4189918.1069066725
10. Metro interstate,CopulaGAN,ElasticNet,R2,TRTR,0.04761073542404515,0.0,2,0.04761073542404515,0.04761073542404515
10. Metro interstate,CopulaGAN,ElasticNet,R2,TSTR,-0.006318943412701783,0.0,2,-0.006318943412701783,-0.006318943412701783
10. Metro interstate,CopulaGAN,ElasticNet,RMSE,TRTR,1991.325196365011,2.273736754432321e-13,2,1991.3251963650107,1991.3251963650112
10. Metro interstate,CopulaGAN,ElasticNet,RMSE,TSTR,2046.928945251074,2.273736754432321e-13,2,2046.9289452510739,2046.9289452510743
10. Metro interstate,CopulaGAN,Extra Trees,MAE,TRTR,2061.444175,5.576672910089378,2,2057.4548635213296,2065.4334864786706
10. Metro interstate,CopulaGAN,Extra Trees,MAE,TSTR,2112.492805,33.00758166975763,2,2088.8806035025646,2136.105006497435
10. Metro interstate,CopulaGAN,Extra Trees,MSE,TRTR,6416983.235944,30384.24166944314,2,6395247.658832545,6438718.813055455
10. Metro interstate,CopulaGAN,Extra Trees,MSE,TSTR,5988076.45654655,240280.8604752232,2,5816189.883628778,6159963.029464321
10. Metro interstate,CopulaGAN,Extra Trees,R2,TRTR,-0.5412071608864082,0.007297574127472355,2,-0.5464275309354574,-0.535986790837359
10. Metro interstate,CopulaGAN,Extra Trees,R2,TSTR,-0.4381939262472138,0.05770976316628701,2,-0.47947700387116876,-0.39691084862325887
10. Metro interstate,CopulaGAN,Extra Trees,RMSE,TRTR,2533.169405018528,6.000118505373926,2,2528.8771788089603,2537.4616312280955
10. Metro interstate,CopulaGAN,Extra Trees,RMSE,TSTR,2446.569666677784,48.71675932064101,2,2411.7197964603915,2481.4195368951764
10. Metro interstate,CopulaGAN,Gradient Boosting,MAE,TRTR,1763.437489811155,0.6369617895430053,2,1762.9818347961548,1763.8931448261553
10. Metro interstate,CopulaGAN,Gradient Boosting,MAE,TSTR,1863.219758658964,0.9363892845890451,2,1862.5499061175399,1863.8896112003883
10. Metro interstate,CopulaGAN,Gradient Boosting,MSE,TRTR,4053008.861264782,4338.1754980025,2,4049905.5174628966,4056112.2050666674
10. Metro interstate,CopulaGAN,Gradient Boosting,MSE,TSTR,4361375.140751503,9615.698162657536,2,4354496.484664947,4368253.79683806
10. Metro interstate,CopulaGAN,Gradient Boosting,R2,TRTR,0.02656340987021049,0.001041926852052933,2,0.025818060301059733,0.027308759439361247
10. Metro interstate,CopulaGAN,Gradient Boosting,R2,TSTR,-0.04749885594010648,0.002309462611994785,2,-0.049150945968718815,-0.04584676591149414
10. Metro interstate,CopulaGAN,Gradient Boosting,RMSE,TRTR,2013.208310339395,1.077239612232584,2,2012.4376995433802,2013.9789211354098
10. Metro interstate,CopulaGAN,Gradient Boosting,RMSE,TSTR,2088.389292615068,2.302876948037841,2,2086.741913686648,2090.036671543488
10. Metro interstate,CopulaGAN,KNN,MAE,TRTR,1939.979,2.273736754432321e-13,2,1939.9789999999998,1939.9790000000003
10. Metro interstate,CopulaGAN,KNN,MAE,TSTR,1910.714,0.0,2,1910.714,1910.714
