Dataset,Generator,Metric,Mean_CV,Std_CV,N
13. Concrete Compressive Strength,GaussianCopula,R2,0.6803287338943445,1.4800923272136202,20
13. Concrete Compressive Strength,GaussianCopula,RMSE,0.13314279238604568,0.01951660898344452,20
13. Concrete Compressive Strength,TVAE,MAE,0.10962876528440005,0.021936359052026528,20
13. Concrete Compressive Strength,TVAE,MSE,0.2114275079057215,0.048469105475705744,20
13. Concrete Compressive Strength,TVAE,R2,0.38948152107370054,0.4838888673620277,20
13. Concrete Compressive Strength,TVAE,RMSE,0.10904735986824791,0.02561436256424013,20
13. Concrete Compressive Strength,TabDDPM,MAE,0.049296103795550814,0.016037566831927186,20
13. Concrete Compressive Strength,TabDDPM,MSE,0.1119197073893674,0.028681838450279402,20
13. Concrete Compressive Strength,TabDDPM,R2,0.06988773241887639,0.027469753009515693,20
13. Concrete Compressive Strength,TabDDPM,RMSE,0.05634009180740501,0.01421830658710314,20
13. Concrete Compressive Strength,WGAN_GP,MAE,0.12371137244916997,0.05538887176411072,20
13. Concrete Compressive Strength,WGAN_GP,MSE,0.2734513160956752,0.0768547359788844,20
13. Concrete Compressive Strength,WGAN_GP,R2,0.7333258866020423,0.5563560736406126,20
13. Concrete Compressive Strength,WGAN_GP,RMSE,0.14085207964138638,0.04263379039950751,20
14. Energy Efficiency,CTABGAN,MAE,0.08954691347551944,0.0330210751990358,20
14. Energy Efficiency,CTABGAN,MSE,0.139230166843145,0.05499539761350346,20
14. Energy Efficiency,CTABGAN,R2,0.4217903857298702,0.08658095156990654,20
14. Energy Efficiency,CTABGAN,RMSE,0.07041546103144498,0.02722700583579449,20
14. Energy Efficiency,CTGAN,MAE,0.11382955280060533,0.02163734963425646,20
14. Energy Efficiency,CTGAN,MSE,0.22793473502218284,0.023421635099642985,20
14. Energy Efficiency,CTGAN,R2,2.0727044711351765,1.2620270073273292,20
14. Energy Efficiency,CTGAN,RMSE,0.11492918617256953,0.013808226820514078,20
14. Energy Efficiency,CopulaGAN,MAE,0.06680556880524009,0.031410560552145625,20
14. Energy Efficiency,CopulaGAN,MSE,0.11327974617660894,0.0420857701170252,20
14. Energy Efficiency,CopulaGAN,R2,1.691418360374271,1.2279399681206598,20
14. Energy Efficiency,CopulaGAN,RMSE,0.05719588522981769,0.02258893505377455,20
14. Energy Efficiency,ForestDiffusion,MAE,0.08093867620165729,0.015270972865908703,20
14. Energy Efficiency,ForestDiffusion,MSE,0.1815133179421859,0.08171563411099485,20
14. Energy Efficiency,ForestDiffusion,R2,0.011052806097723657,0.010865351514431399,20
14. Energy Efficiency,ForestDiffusion,RMSE,0.08940630829341818,0.033898507117967366,20
14. Energy Efficiency,GaussianCopula,MAE,0.0828510249858658,0.04411962218182133,20
14. Energy Efficiency,GaussianCopula,MSE,0.15717417992907526,0.08243906415220734,20
14. Energy Efficiency,GaussianCopula,R2,0.16075523961016752,0.16064738034804463,20
14. Energy Efficiency,GaussianCopula,RMSE,0.07887385223740773,0.04109575604796971,20
14. Energy Efficiency,TVAE,MAE,0.17995058977125886,0.03517847461057551,20
14. Energy Efficiency,TVAE,MSE,0.3594544979561308,0.15856525360112955,20
14. Energy Efficiency,TVAE,R2,0.11434738711865473,0.09962493367899328,20
14. Energy Efficiency,TVAE,RMSE,0.1808810015236026,0.06043807932897504,20
14. Energy Efficiency,TabDDPM,MAE,0.09233549348241799,0.036679366599935356,20
