Dataset,Dataset_Short,Generator,Mapping_Method,Metric,Available,Mean
6. Wine dataset,Wine,CTGAN,Hungarian,Mahalanobis Distance,True,14.60013448951508
6. Wine dataset,Wine,CopulaGAN,Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,CopulaGAN,Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,CopulaGAN,One-to-One Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,CopulaGAN,Hungarian,Cosine Similarity,False,
6. Wine dataset,Wine,CopulaGAN,Hungarian,Mahalanobis Distance,True,14.97249458978774
6. Wine dataset,Wine,TVAE,Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,TVAE,Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,TVAE,One-to-One Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,TVAE,One-to-One Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,TVAE,Hungarian,Cosine Similarity,False,
6. Wine dataset,Wine,TVAE,Hungarian,Mahalanobis Distance,True,13.65101514825886
6. Wine dataset,Wine,GaussianCopula,Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,GaussianCopula,Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,GaussianCopula,One-to-One Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,GaussianCopula,Hungarian,Cosine Similarity,False,
6. Wine dataset,Wine,GaussianCopula,Hungarian,Mahalanobis Distance,True,15.50733446018729
6. Wine dataset,Wine,WGAN_GP,Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,WGAN_GP,Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,WGAN_GP,One-to-One Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,True,3.6759
6. Wine dataset,Wine,WGAN_GP,Hungarian,Cosine Similarity,True,0.976834
6. Wine dataset,Wine,WGAN_GP,Hungarian,Mahalanobis Distance,False,
6. Wine dataset,Wine,CTABGAN,Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,CTABGAN,Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,CTABGAN,One-to-One Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,CTABGAN,One-to-One Greedy,Mahalanobis Distance,True,3.3377
6. Wine dataset,Wine,CTABGAN,Hungarian,Cosine Similarity,True,0.980089
6. Wine dataset,Wine,CTABGAN,Hungarian,Mahalanobis Distance,False,
6. Wine dataset,Wine,TabDDPM,Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,TabDDPM,Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,TabDDPM,One-to-One Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,TabDDPM,One-to-One Greedy,Mahalanobis Distance,True,5.4729
6. Wine dataset,Wine,TabDDPM,Hungarian,Cosine Similarity,True,0.942491
6. Wine dataset,Wine,TabDDPM,Hungarian,Mahalanobis Distance,False,
6. Wine dataset,Wine,ForestDiffusion,Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,ForestDiffusion,Greedy,Mahalanobis Distance,False,
6. Wine dataset,Wine,ForestDiffusion,One-to-One Greedy,Cosine Similarity,False,
6. Wine dataset,Wine,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,True,1.6171
6. Wine dataset,Wine,ForestDiffusion,Hungarian,Cosine Similarity,True,0.997669
6. Wine dataset,Wine,ForestDiffusion,Hungarian,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,CTGAN,Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,CTGAN,Greedy,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,CTGAN,One-to-One Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,CTGAN,One-to-One Greedy,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,CTGAN,Hungarian,Cosine Similarity,True,0.9851661008568016
7. CDC diabetes dataset,CDC_Diabetes,CTGAN,Hungarian,Mahalanobis Distance,True,0.480346042408537
7. CDC diabetes dataset,CDC_Diabetes,CopulaGAN,Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,CopulaGAN,Greedy,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,CopulaGAN,One-to-One Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,CopulaGAN,Hungarian,Cosine Similarity,True,0.9945577524214452
7. CDC diabetes dataset,CDC_Diabetes,CopulaGAN,Hungarian,Mahalanobis Distance,True,0.577594273540177
7. CDC diabetes dataset,CDC_Diabetes,TVAE,Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,TVAE,Greedy,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,TVAE,One-to-One Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,TVAE,One-to-One Greedy,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,TVAE,Hungarian,Cosine Similarity,True,0.9983234912644736
7. CDC diabetes dataset,CDC_Diabetes,TVAE,Hungarian,Mahalanobis Distance,True,0.6194033040135131
7. CDC diabetes dataset,CDC_Diabetes,GaussianCopula,Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,GaussianCopula,Greedy,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,GaussianCopula,One-to-One Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,GaussianCopula,Hungarian,Cosine Similarity,True,0.9971737677781224
7. CDC diabetes dataset,CDC_Diabetes,GaussianCopula,Hungarian,Mahalanobis Distance,True,27.5822488054879
7. CDC diabetes dataset,CDC_Diabetes,WGAN_GP,Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,WGAN_GP,Greedy,Mahalanobis Distance,False,
7. CDC diabetes dataset,CDC_Diabetes,WGAN_GP,One-to-One Greedy,Cosine Similarity,False,
7. CDC diabetes dataset,CDC_Diabetes,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,True,3.9642
