Dataset,Generator,Classifier,Leakage,Mean,Std,N,TRTR_Mean,TRTR_Std,Utility_Loss,Utility_Drop_Pct
1. Cancer,WGAN_GP,Naive Bayes,0,0.9307017543859649,0.01939767051534734,2,0.9324561403508772,0.02322491630679601,0.0017543859649122862,0.188146754468486
1. Cancer,WGAN_GP,Random Forest,0,0.9456140350877191,0.02068390547816071,2,0.962280701754386,0.0136176971019825,0.01666666666666683,1.7319963536919039
1. Cancer,WGAN_GP,SVM-RBF,0,0.9473684210526315,0.02418254167033372,2,0.9701754385964912,0.01889531511275264,0.02280701754385972,2.3508137432188136
2. Alzhimers,CTABGAN,AdaBoost,0,0.9266666666666667,0.03386246693120078,2,0.9493333333333334,0.0258542925728871,0.022666666666666613,2.3876404494381966
2. Alzhimers,CTABGAN,Decision Tree,0,0.548,0.08893443277681223,2,0.9066666666666666,0.04580150409951377,0.3586666666666666,39.55882352941176
2. Alzhimers,CTABGAN,Extra Trees,0,0.9480000000000001,0.03745219174716837,2,0.9479999999999998,0.01627540748764492,-2.220446049250313e-16,-2.3422426679855627e-14
2. Alzhimers,CTABGAN,Gradient Boosting,0,0.704,0.09367556304133491,2,0.9453333333333334,0.02186829262247564,0.2413333333333334,25.528913963328637
2. Alzhimers,CTABGAN,KNN,0,0.8573333333333334,0.04260412082312123,2,0.916,0.02924228293261507,0.058666666666666645,6.40465793304221
2. Alzhimers,CTABGAN,Logistic Regression,0,0.932,0.01733333333333333,2,0.9559999999999998,0.02235073948565364,0.0239999999999998,2.5104602510460046
2. Alzhimers,CTABGAN,MLP,0,0.7973333333333334,0.04873511168665886,2,0.9386666666666666,0.02809507667427396,0.1413333333333332,15.05681818181817
2. Alzhimers,CTABGAN,Naive Bayes,0,0.9013333333333333,0.03685406656289401,2,0.9546666666666667,0.0170749979664876,0.053333333333333344,5.5865921787709505
2. Alzhimers,CTABGAN,Random Forest,0,0.8786666666666665,0.033967304540952,2,0.9533333333333331,0.01366260102127946,0.07466666666666666,7.8321678321678325
2. Alzhimers,CTABGAN,SVM-RBF,0,0.9120000000000001,0.02745501370929866,2,0.9546666666666666,0.02324746103221695,0.04266666666666641,4.469273743016733
2. Alzhimers,CTGAN,AdaBoost,0,0.5186666666666666,0.04749736834815167,2,0.9493333333333334,0.0258542925728871,0.43066666666666675,45.36516853932585
2. Alzhimers,CTGAN,Decision Tree,0,0.4946666666666666,0.1069080601888058,2,0.9066666666666666,0.04580150409951377,0.41200000000000003,45.44117647058824
2. Alzhimers,CTGAN,Extra Trees,0,0.576,0.05191445955715144,2,0.9479999999999998,0.01627540748764492,0.3719999999999999,39.24050632911392
2. Alzhimers,CTGAN,Gradient Boosting,0,0.5333333333333334,0.05811865258054231,2,0.9453333333333334,0.02186829262247564,0.4119999999999999,43.582510578279255
