Dataset,Generator,Classifier,Leakage,Mean,Std,N
4. Forest cover dataset,GaussianCopula,AdaBoost,0,0.4375590911169083,0.04457936061221487,2
4. Forest cover dataset,GaussianCopula,Decision Tree,0,0.4154220398787623,0.03199978884140681,2
4. Forest cover dataset,GaussianCopula,Extra Trees,0,0.4098421751376214,0.02897015733893681,2
4. Forest cover dataset,GaussianCopula,Gradient Boosting,0,0.4568700146484847,0.03751346730107516,2
4. Forest cover dataset,GaussianCopula,KNN,0,0.3935564236690148,0.02128002140552999,2
4. Forest cover dataset,GaussianCopula,Logistic Regression,0,0.463066378818122,0.02971832720712023,2
4. Forest cover dataset,GaussianCopula,MLP,0,0.3539698909120333,0.04736469303681553,2
4. Forest cover dataset,GaussianCopula,Naive Bayes,0,0.3880722099019268,0.03837093978156769,2
4. Forest cover dataset,GaussianCopula,Random Forest,0,0.4475681976896166,0.03425298829748295,2
4. Forest cover dataset,GaussianCopula,SVM-RBF,0,0.4616687416970855,0.02748171008740386,2
4. Forest cover dataset,TVAE,AdaBoost,0,0.3213751642018569,0.06154199316527782,2
4. Forest cover dataset,TVAE,Decision Tree,0,0.3436644853653056,0.03988264378290304,2
4. Forest cover dataset,TVAE,Extra Trees,0,0.3154289208978112,0.04213022388378761,2
4. Forest cover dataset,TVAE,Gradient Boosting,0,0.3269033146327281,0.03701187004680339,2
4. Forest cover dataset,TVAE,KNN,0,0.3903316956556859,0.01600298860622288,2
4. Forest cover dataset,TVAE,Logistic Regression,0,0.3933541714737945,0.05722971834050663,2
4. Forest cover dataset,TVAE,MLP,0,0.3426203643751366,0.05065832744160333,2
4. Forest cover dataset,TVAE,Naive Bayes,0,0.3606045113378981,0.04215489790796999,2
4. Forest cover dataset,TVAE,Random Forest,0,0.3432100307143425,0.04873556531220867,2
4. Forest cover dataset,TVAE,SVM-RBF,0,0.4023071353043748,0.05208321968321215,2
4. Forest cover dataset,WGAN_GP,AdaBoost,0,0.3674422858516509,0.05116094148030211,2
4. Forest cover dataset,WGAN_GP,Decision Tree,0,0.3539037143773581,0.02497927911801573,2
4. Forest cover dataset,WGAN_GP,Extra Trees,0,0.3802658688263649,0.02334965063324451,2
4. Forest cover dataset,WGAN_GP,Gradient Boosting,0,0.3734899988395434,0.03580722750474049,2
4. Forest cover dataset,WGAN_GP,KNN,0,0.3925686322560197,0.01947753987443129,2
4. Forest cover dataset,WGAN_GP,Logistic Regression,0,0.4013201541378596,0.01943066113587492,2
4. Forest cover dataset,WGAN_GP,MLP,0,0.3419485057833586,0.0648719620360811,2
4. Forest cover dataset,WGAN_GP,Naive Bayes,0,0.3608060824741338,0.01529905170543173,2
4. Forest cover dataset,WGAN_GP,Random Forest,0,0.3831887751300889,0.03200310222575077,2
4. Forest cover dataset,WGAN_GP,SVM-RBF,0,0.4058070913308874,0.01570329734843684,2
5. Bank Markting,CTABGAN,AdaBoost,0,0.8585375593412617,0.005660783301051418,2
5. Bank Markting,CTABGAN,Decision Tree,0,0.6580247200911519,0.05091110942905495,2
5. Bank Markting,CTABGAN,Extra Trees,0,0.8481280437469211,0.003686576460779955,2
5. Bank Markting,CTABGAN,Gradient Boosting,0,0.8299698207935379,0.01545478327720824,2
5. Bank Markting,CTABGAN,KNN,0,0.8456234328173224,0.00390473410790908,2
5. Bank Markting,CTABGAN,Logistic Regression,0,0.8501045510599878,0.002998712748673531,2
5. Bank Markting,CTABGAN,MLP,0,0.8475605518678732,0.00684169327231566,2
5. Bank Markting,CTABGAN,Naive Bayes,0,0.8464856723061562,0.006493057813077973,2
5. Bank Markting,CTABGAN,Random Forest,0,0.8514295933789378,0.004438232531465624,2
5. Bank Markting,CTABGAN,SVM-RBF,0,0.852528600165893,0.003158038602819354,2
5. Bank Markting,CTGAN,AdaBoost,0,0.8402864870685033,0.005591727341952821,2
5. Bank Markting,CTGAN,Decision Tree,0,0.7701633231661639,0.007524772808519198,2
5. Bank Markting,CTGAN,Extra Trees,0,0.8116027107639182,0.00847911153339922,2
5. Bank Markting,CTGAN,Gradient Boosting,0,0.8453567742427941,0.006694730279630668,2
5. Bank Markting,CTGAN,KNN,0,0.8175402551673698,0.00973117209508074,2
