Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,TaskType,Category,MetricValue,SourceFile
1. Cancer,CTGAN,,utility,Accuracy,0.9666666666666666,0.9666666666666666,0.01022974016639526,AdaBoost,,,0,0.0,100,TRTR,classification,Utility,0.9666666666666666,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.7254385964912281,0.7254385964912281,0.02513429610858667,AdaBoost,,,0,0.0,100,TSTR,classification,Utility,0.7254385964912281,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Gap,0.24122807017543846,0.24122807017543846,0.02513429610858667,AdaBoost,,,0,0.0,100,Gap,classification,Utility,0.7254385964912281,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.9537824074424763,0.9537824074424763,0.01443243582836966,AdaBoost,,,0,0.0,100,TRTR,classification,Utility,0.9537824074424763,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.7066383070371282,0.7066383070371282,0.02622587045779307,AdaBoost,,,0,0.0,100,TSTR,classification,Utility,0.7066383070371282,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Gap,0.24714410040534818,0.24714410040534818,0.02622587045779307,AdaBoost,,,0,0.0,100,Gap,classification,Utility,0.7066383070371282,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.9735489892977129,0.9735489892977129,0.02210918228480495,AdaBoost,,,0,0.0,100,TRTR,classification,Utility,0.9735489892977129,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.5843282264066113,0.5843282264066113,0.02594956660915364,AdaBoost,,,0,0.0,100,TSTR,classification,Utility,0.5843282264066113,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.9357142857142857,0.9357142857142857,0.02827224306437598,AdaBoost,,,0,0.0,100,TRTR,classification,Utility,0.9357142857142857,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.9,0.9,0.07438333024673004,AdaBoost,,,0,0.0,100,TSTR,classification,Utility,0.9,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Drop,0.2412280701754385,0.2412280701754385,,AdaBoost,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Drop,0.2471441004053482,0.2471441004053482,,AdaBoost,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision_Drop,0.3892207628911016,0.3892207628911016,,AdaBoost,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall_Drop,0.0357142857142857,0.0357142857142857,,AdaBoost,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.9631578947368421,0.9631578947368421,0.0203084857943688,Gradient Boosting,,,0,0.0,100,TRTR,classification,Utility,0.9631578947368421,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.6956140350877192,0.6956140350877192,0.05100558512318116,Gradient Boosting,,,0,0.0,100,TSTR,classification,Utility,0.6956140350877192,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Gap,0.26754385964912286,0.26754385964912286,0.05100558512318116,Gradient Boosting,,,0,0.0,100,Gap,classification,Utility,0.6956140350877192,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.9494212600983015,0.9494212600983015,0.02779434087071402,Gradient Boosting,,,0,0.0,100,TRTR,classification,Utility,0.9494212600983015,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.6803525981791595,0.6803525981791595,0.03538217252110418,Gradient Boosting,,,0,0.0,100,TSTR,classification,Utility,0.6803525981791595,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Gap,0.269068661919142,0.269068661919142,0.03538217252110418,Gradient Boosting,,,0,0.0,100,Gap,classification,Utility,0.6803525981791595,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.9620305430373497,0.9620305430373497,0.0358379580625646,Gradient Boosting,,,0,0.0,100,TRTR,classification,Utility,0.9620305430373497,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.5599249455528891,0.5599249455528891,0.04552000035223773,Gradient Boosting,,,0,0.0,100,TSTR,classification,Utility,0.5599249455528891,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.938095238095238,0.938095238095238,0.03400680204068023,Gradient Boosting,,,0,0.0,100,TRTR,classification,Utility,0.938095238095238,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.8738095238095237,0.8738095238095237,0.05639390134441432,Gradient Boosting,,,0,0.0,100,TSTR,classification,Utility,0.8738095238095237,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Drop,0.2675438596491229,0.2675438596491229,,Gradient Boosting,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Drop,0.269068661919142,0.269068661919142,,Gradient Boosting,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision_Drop,0.4021055974844606,0.4021055974844606,,Gradient Boosting,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall_Drop,0.06428571428571428,0.06428571428571428,,Gradient Boosting,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.962280701754386,0.962280701754386,0.01883413206454726,KNN,,,0,0.0,100,TRTR,classification,Utility,0.962280701754386,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.6140350877192982,0.6140350877192982,0.05407380704358751,KNN,,,0,0.0,100,TSTR,classification,Utility,0.6140350877192982,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
