Dataset,Generator,Classifier,Leakage,Mean,Std,N
4. Forest cover dataset,WGAN_GP,Gradient Boosting,0,0.3965,0.04136893627939798,2
4. Forest cover dataset,WGAN_GP,KNN,0,0.4265,0.01958599272723012,2
4. Forest cover dataset,WGAN_GP,Logistic Regression,0,0.4395000000000001,0.02948163270015191,2
4. Forest cover dataset,WGAN_GP,MLP,0,0.3805,0.05809235941345663,2
4. Forest cover dataset,WGAN_GP,Naive Bayes,0,0.3730000000000001,0.01903213656482694,2
4. Forest cover dataset,WGAN_GP,Random Forest,0,0.4165,0.03551603706621685,2
4. Forest cover dataset,WGAN_GP,SVM-RBF,0,0.4545,0.0255440795488896,2
5. Bank Markting,CTABGAN,AdaBoost,0,0.88895,0.003781901344268219,2
5. Bank Markting,CTABGAN,Decision Tree,0,0.5886,0.06133913016084341,2
5. Bank Markting,CTABGAN,Extra Trees,0,0.88365,0.001901023116347849,2
5. Bank Markting,CTABGAN,Gradient Boosting,0,0.84185,0.0326130938257763,2
5. Bank Markting,CTABGAN,KNN,0,0.8771999999999999,0.0019465068427542,2
5. Bank Markting,CTABGAN,Logistic Regression,0,0.88795,0.001403368962334719,2
5. Bank Markting,CTABGAN,MLP,0,0.8812999999999999,0.004922736366425996,2
5. Bank Markting,CTABGAN,Naive Bayes,0,0.8589,0.007640535176136424,2
5. Bank Markting,CTABGAN,Random Forest,0,0.8843499999999999,0.004830746434156015,2
5. Bank Markting,CTABGAN,SVM-RBF,0,0.8877,0.00188856206322872,2
5. Bank Markting,CTGAN,AdaBoost,0,0.8764,0.003942644346684622,2
5. Bank Markting,CTGAN,Decision Tree,0,0.74065,0.01014902841545817,2
5. Bank Markting,CTGAN,Extra Trees,0,0.8119500000000001,0.009973436942420815,2
5. Bank Markting,CTGAN,Gradient Boosting,0,0.8734,0.006389227044191022,2
5. Bank Markting,CTGAN,KNN,0,0.82005,0.01059992138335625,2
5. Bank Markting,CTGAN,Logistic Regression,0,0.8782,0.00335161652539983,2
5. Bank Markting,CTGAN,MLP,0,0.8330500000000001,0.01560528756543755,2
5. Bank Markting,CTGAN,Naive Bayes,0,0.7481499999999999,0.0201439955211362,2
5. Bank Markting,CTGAN,Random Forest,0,0.83535,0.007149397799037976,2
5. Bank Markting,CTGAN,SVM-RBF,0,0.8792,0.003895866755649866,2
5. Bank Markting,CopulaGAN,AdaBoost,0,0.8741,0.004427188724235699,2
5. Bank Markting,CopulaGAN,Decision Tree,0,0.79735,0.008828772407431415,2
5. Bank Markting,CopulaGAN,Extra Trees,0,0.8619,0.00240138848724373,2
5. Bank Markting,CopulaGAN,Gradient Boosting,0,0.87485,0.004069193204227725,2
5. Bank Markting,CopulaGAN,KNN,0,0.8631500000000001,0.002646276209653449,2
5. Bank Markting,CopulaGAN,Logistic Regression,0,0.8743000000000001,0.005271516754112495,2
5. Bank Markting,CopulaGAN,MLP,0,0.84285,0.01560457553981455,2
