Dataset,Generator,Mapping_Method,Metric,Available,Mean
4. Forest cover dataset,WGAN_GP,Greedy,Mahalanobis Distance,0,
4. Forest cover dataset,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
4. Forest cover dataset,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,485.347
4. Forest cover dataset,WGAN_GP,Hungarian,Cosine Similarity,1,0.997355
4. Forest cover dataset,WGAN_GP,Hungarian,Mahalanobis Distance,0,
4. Forest cover dataset,CTABGAN,Greedy,Cosine Similarity,0,
4. Forest cover dataset,CTABGAN,Greedy,Mahalanobis Distance,0,
4. Forest cover dataset,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
4. Forest cover dataset,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,63.0334
4. Forest cover dataset,CTABGAN,Hungarian,Cosine Similarity,1,0.996078
4. Forest cover dataset,CTABGAN,Hungarian,Mahalanobis Distance,0,
4. Forest cover dataset,TabDDPM,Greedy,Cosine Similarity,0,
4. Forest cover dataset,TabDDPM,Greedy,Mahalanobis Distance,0,
4. Forest cover dataset,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
4. Forest cover dataset,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,636.1656
4. Forest cover dataset,TabDDPM,Hungarian,Cosine Similarity,1,0.891484
4. Forest cover dataset,TabDDPM,Hungarian,Mahalanobis Distance,1,636.1192608076418
4. Forest cover dataset,ForestDiffusion,Greedy,Cosine Similarity,0,
4. Forest cover dataset,ForestDiffusion,Greedy,Mahalanobis Distance,0,
4. Forest cover dataset,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
4. Forest cover dataset,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,10.3564
4. Forest cover dataset,ForestDiffusion,Hungarian,Cosine Similarity,1,0.997509
4. Forest cover dataset,ForestDiffusion,Hungarian,Mahalanobis Distance,1,10.21356345113765
5. Bank Markting,CTGAN,Greedy,Cosine Similarity,0,
5. Bank Markting,CTGAN,Greedy,Mahalanobis Distance,0,
5. Bank Markting,CTGAN,One-to-One Greedy,Cosine Similarity,0,
5. Bank Markting,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
5. Bank Markting,CTGAN,Hungarian,Cosine Similarity,1,0.9996685798816864
5. Bank Markting,CTGAN,Hungarian,Mahalanobis Distance,0,
5. Bank Markting,CopulaGAN,Greedy,Cosine Similarity,0,
5. Bank Markting,CopulaGAN,Greedy,Mahalanobis Distance,0,
5. Bank Markting,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
5. Bank Markting,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
5. Bank Markting,CopulaGAN,Hungarian,Cosine Similarity,1,0.9994728773158172
5. Bank Markting,CopulaGAN,Hungarian,Mahalanobis Distance,0,
5. Bank Markting,TVAE,Greedy,Cosine Similarity,0,
5. Bank Markting,TVAE,Greedy,Mahalanobis Distance,0,
5. Bank Markting,TVAE,One-to-One Greedy,Cosine Similarity,0,
5. Bank Markting,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
5. Bank Markting,TVAE,Hungarian,Cosine Similarity,1,0.9989676630292432
5. Bank Markting,TVAE,Hungarian,Mahalanobis Distance,0,
5. Bank Markting,GaussianCopula,Greedy,Cosine Similarity,0,
5. Bank Markting,GaussianCopula,Greedy,Mahalanobis Distance,0,
5. Bank Markting,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
5. Bank Markting,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
5. Bank Markting,GaussianCopula,Hungarian,Cosine Similarity,1,0.9931425769281476
5. Bank Markting,GaussianCopula,Hungarian,Mahalanobis Distance,0,
5. Bank Markting,WGAN_GP,Greedy,Cosine Similarity,0,
5. Bank Markting,WGAN_GP,Greedy,Mahalanobis Distance,0,
5. Bank Markting,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
5. Bank Markting,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,2.2412
5. Bank Markting,WGAN_GP,Hungarian,Cosine Similarity,1,0.810998
5. Bank Markting,WGAN_GP,Hungarian,Mahalanobis Distance,0,
5. Bank Markting,CTABGAN,Greedy,Cosine Similarity,0,
5. Bank Markting,CTABGAN,Greedy,Mahalanobis Distance,0,
5. Bank Markting,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
5. Bank Markting,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,1.3445
5. Bank Markting,CTABGAN,Hungarian,Cosine Similarity,1,0.939923
5. Bank Markting,CTABGAN,Hungarian,Mahalanobis Distance,0,
5. Bank Markting,TabDDPM,Greedy,Cosine Similarity,0,
5. Bank Markting,TabDDPM,Greedy,Mahalanobis Distance,0,
5. Bank Markting,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
5. Bank Markting,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,10.6833
5. Bank Markting,TabDDPM,Hungarian,Cosine Similarity,1,0.357519
5. Bank Markting,TabDDPM,Hungarian,Mahalanobis Distance,0,
5. Bank Markting,ForestDiffusion,Greedy,Cosine Similarity,0,
5. Bank Markting,ForestDiffusion,Greedy,Mahalanobis Distance,0,
5. Bank Markting,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
5. Bank Markting,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,0.9368
5. Bank Markting,ForestDiffusion,Hungarian,Cosine Similarity,1,0.953458
5. Bank Markting,ForestDiffusion,Hungarian,Mahalanobis Distance,0,
6. Wine dataset,CTGAN,Greedy,Cosine Similarity,0,
6. Wine dataset,CTGAN,Greedy,Mahalanobis Distance,0,
6. Wine dataset,CTGAN,One-to-One Greedy,Cosine Similarity,0,
6. Wine dataset,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
6. Wine dataset,CTGAN,Hungarian,Cosine Similarity,0,
6. Wine dataset,CTGAN,Hungarian,Mahalanobis Distance,1,14.60013448951508
6. Wine dataset,CopulaGAN,Greedy,Cosine Similarity,0,
6. Wine dataset,CopulaGAN,Greedy,Mahalanobis Distance,0,
6. Wine dataset,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
6. Wine dataset,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
6. Wine dataset,CopulaGAN,Hungarian,Cosine Similarity,0,
6. Wine dataset,CopulaGAN,Hungarian,Mahalanobis Distance,1,14.97249458978774
6. Wine dataset,TVAE,Greedy,Cosine Similarity,0,
6. Wine dataset,TVAE,Greedy,Mahalanobis Distance,0,
6. Wine dataset,TVAE,One-to-One Greedy,Cosine Similarity,0,
6. Wine dataset,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
6. Wine dataset,TVAE,Hungarian,Cosine Similarity,0,
6. Wine dataset,TVAE,Hungarian,Mahalanobis Distance,1,13.65101514825886
6. Wine dataset,GaussianCopula,Greedy,Cosine Similarity,0,
6. Wine dataset,GaussianCopula,Greedy,Mahalanobis Distance,0,
6. Wine dataset,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
6. Wine dataset,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
6. Wine dataset,GaussianCopula,Hungarian,Cosine Similarity,0,
6. Wine dataset,GaussianCopula,Hungarian,Mahalanobis Distance,1,15.50733446018729
6. Wine dataset,WGAN_GP,Greedy,Cosine Similarity,0,
6. Wine dataset,WGAN_GP,Greedy,Mahalanobis Distance,0,
6. Wine dataset,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
6. Wine dataset,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,3.6759
6. Wine dataset,WGAN_GP,Hungarian,Cosine Similarity,1,0.976834
6. Wine dataset,WGAN_GP,Hungarian,Mahalanobis Distance,0,
6. Wine dataset,CTABGAN,Greedy,Cosine Similarity,0,
6. Wine dataset,CTABGAN,Greedy,Mahalanobis Distance,0,
6. Wine dataset,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
6. Wine dataset,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,3.3377
6. Wine dataset,CTABGAN,Hungarian,Cosine Similarity,1,0.980089
6. Wine dataset,CTABGAN,Hungarian,Mahalanobis Distance,0,
6. Wine dataset,TabDDPM,Greedy,Cosine Similarity,0,
6. Wine dataset,TabDDPM,Greedy,Mahalanobis Distance,0,
6. Wine dataset,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
6. Wine dataset,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,5.4729
6. Wine dataset,TabDDPM,Hungarian,Cosine Similarity,1,0.942491
