Dataset,Generator,Greedy_Cosine,Greedy_Cosine_Note,Greedy_Cosine_Proxy_Pairwise,Cosine_Baseline_Method,Hungarian_Cosine,Delta_Cosine,Cosine_Improvement_Pct,Cosine_Pct_Unstable,Greedy_Mahalanobis,Hungarian_Mahalanobis,Delta_Mahalanobis,Mahalanobis_Improvement_Pct,Maha_Pct_Unstable,hung_src,nb_src,Num_Matches
OnlineShop,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.07272,Pairwise (no assignment),,,,False,2.588096,2.433242,0.15485400000000027,5.983317465812716,False,notebook_pair:sampled_table,11. Online shopping_other GAN.ipynb,1000.0
OnlineShop,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.007068,Pairwise (no assignment),,,,False,3.20519,3.055943,0.1492469999999999,4.6564166242874805,False,notebook_pair:sampled_table,11. Online shopping_other GAN.ipynb,1000.0
OnlineShop,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.027586,Pairwise (no assignment),,,,False,5.801993,5.638238,0.1637550000000001,2.8223922365987013,False,notebook_pair:sampled_table,11. Online shopping_diffusion.ipynb,1000.0
OnlineShop,ForestDiffusion,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.015111,Pairwise (no assignment),,,,False,1.94589,1.816702,0.12918799999999986,6.639018649563947,False,notebook_pair:sampled_table,11. Online shopping_diffusion.ipynb,1000.0
AirQuality,CTGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.00592,Pairwise (no assignment),0.9740564407359084,0.9681364407359083,16353.656093511965,False,,145.4258331068809,,,False,long_csv,,1000.0
AirQuality,CopulaGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.007748,Pairwise (no assignment),0.9658485018218728,0.9735965018218727,-12565.778288872907,False,,42.25175791284352,,,False,long_csv,,1000.0
AirQuality,TVAE,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.007304,Pairwise (no assignment),0.9959795553323112,0.9886755553323112,13536.083725798348,False,53.42266,20.605003,32.817657,61.430218937057795,False,notebook_pair:sampled_table,12. Air Quality.ipynb,1000.0
AirQuality,GaussianCopula,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.00501,Pairwise (no assignment),0.9978391067700032,0.9928291067700032,19816.94823892222,False,28.73888,18.531944,10.206936000000002,35.51612310570211,False,notebook_pair:sampled_table,12. Air Quality.ipynb,1000.0
AirQuality,CTABGAN,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),0.006073,Pairwise (no assignment),,,,False,9.2838,9.02,0.2637999999999998,2.8415088649044553,False,notebook_pair:print,12. Air Quality_other GAN.ipynb,
AirQuality,WGAN_GP,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.00211,Pairwise (no assignment),,,,False,4.9184,4.6189,0.2995000000000001,6.0893786597267425,False,notebook_pair:print,12. Air Quality_other GAN.ipynb,
AirQuality,TabDDPM,,Not persisted in notebooks (many-to-one greedy cosine aggregates missing),-0.006147,Pairwise (no assignment),0.957594,0.963741,-15678.233284529038,False,6.392,6.1055,0.2865000000000002,4.482165206508138,False,notebook_pair:print,12. Air Quality_diffusion.ipynb,1000.0
