Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
15. Real Estate Valuation,RealEstate,ForestDiffusion,414.0,excel sheets/2. Privacy/15. Real Estate Valuation/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.999959,excel_sheets_privacy_hungarian_matching,1.0,0.995531,1.0,
15. Real Estate Valuation,RealEstate,TabDDPM,414.0,excel sheets/2. Privacy/15. Real Estate Valuation/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.999461,excel_sheets_privacy_hungarian_matching,0.999942,0.988496,1.0,
12. Air Quality,AirQuality,TabDDPM,1000.0,excel sheets/2. Privacy/12. Air Quality/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.957594,excel_sheets_privacy_hungarian_matching,0.989893,0.742861,0.999817,
12. Air Quality,AirQuality,ForestDiffusion,1000.0,excel sheets/2. Privacy/12. Air Quality/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.998953,excel_sheets_privacy_hungarian_matching,0.999388,0.963011,1.0,
1. Cancer,Cancer,TabDDPM,569.0,excel sheets/2. Privacy/1. Cancer/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.991305,excel_sheets_privacy_hungarian_matching,0.991509,0.967787,0.999993,
1. Cancer,Cancer,ForestDiffusion,569.0,excel sheets/2. Privacy/1. Cancer/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.999888,excel_sheets_privacy_hungarian_matching,0.999967,0.994666,0.999998,
1. Cancer,Cancer,CTABGAN,569.0,excel sheets/2. Privacy/1. Cancer/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.998195,excel_sheets_privacy_hungarian_matching,0.99859,0.992022,0.999888,
1. Cancer,Cancer,WGAN_GP,569.0,excel sheets/2. Privacy/1. Cancer/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.99984,excel_sheets_privacy_hungarian_matching,0.999946,0.992749,0.999995,
1. Cancer,Cancer,CTGAN,569.0,excel sheets/2. Privacy/1. Cancer/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.94758,excel_sheets_privacy_hungarian_matching,0.960161,0.752606,0.998688,
1. Cancer,Cancer,CopulaGAN,569.0,excel sheets/2. Privacy/1. Cancer/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.956947,excel_sheets_privacy_hungarian_matching,0.974895,0.790947,0.99909,
1. Cancer,Cancer,TVAE,569.0,excel sheets/2. Privacy/1. Cancer/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.994255,excel_sheets_privacy_hungarian_matching,0.99772,0.876007,0.999955,
1. Cancer,Cancer,GaussianCopula,569.0,excel sheets/2. Privacy/1. Cancer/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.999626,excel_sheets_privacy_hungarian_matching,0.999786,0.993055,0.99999,
13. Concrete Compressive Strength,Concrete,TabDDPM,1000.0,excel sheets/2. Privacy/13. Concrete Compressive Strength/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.998188,excel_sheets_privacy_hungarian_matching,0.99913,0.956216,0.999996,
13. Concrete Compressive Strength,Concrete,ForestDiffusion,1000.0,excel sheets/2. Privacy/13. Concrete Compressive Strength/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.999365,excel_sheets_privacy_hungarian_matching,0.999852,0.991371,1.0,
13. Concrete Compressive Strength,Concrete,WGAN_GP,1000.0,excel sheets/2. Privacy/13. Concrete Compressive Strength/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.976834,excel_sheets_privacy_hungarian_matching,0.997062,-0.487305,0.999452,
13. Concrete Compressive Strength,Concrete,CTABGAN,1000.0,excel sheets/2. Privacy/13. Concrete Compressive Strength/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.980089,excel_sheets_privacy_hungarian_matching,0.99831,0.762524,0.999975,
13. Concrete Compressive Strength,Concrete,GaussianCopula,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9961556904529508,curated_mapping_cost_comparison,,,,
13. Concrete Compressive Strength,Concrete,CopulaGAN,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9944795361352042,curated_mapping_cost_comparison,,,,
5. Bank Markting,Bank,CTGAN,10000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9996685798816864,curated_mapping_cost_comparison,,,,
5. Bank Markting,Bank,CopulaGAN,10000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9994728773158172,curated_mapping_cost_comparison,,,,
5. Bank Markting,Bank,GaussianCopula,10000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9931425769281476,curated_mapping_cost_comparison,,,,
5. Bank Markting,Bank,TVAE,10000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9989676630292432,curated_mapping_cost_comparison,,,,
14. Energy Efficiency,Energy,CTGAN,768.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9966612583435426,curated_mapping_cost_comparison,,,,
