Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
7. CDC diabetes dataset,CDC_Diabetes,GaussianCopula,5000.0,excel sheets/2. Privacy/7. CDC diabetes dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,27.5822488054879,excel_sheets_privacy_mahalanobis_summary,32.72403383844063,0.205365153352864,41.09900355733253,11.11133392048021
7. CDC diabetes dataset,CDC_Diabetes,TVAE,5000.0,excel sheets/2. Privacy/7. CDC diabetes dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.6194033040135131,excel_sheets_privacy_mahalanobis_summary,0.2703953409054879,0.0004593816000292113,37.01822390008621,1.427624428470201
8. Mushroom dataset,Mushroom,CTGAN,10000.0,excel sheets/2. Privacy/8. Mushroom dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.4861690905004704,excel_sheets_privacy_mahalanobis_summary,0.2672439677717343,0.0,7.073248842283225,0.6432292575753934
8. Mushroom dataset,Mushroom,CopulaGAN,10000.0,excel sheets/2. Privacy/8. Mushroom dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.5394674015084815,excel_sheets_privacy_mahalanobis_summary,0.2874242337085394,0.0,7.220497162081333,0.7106181738402562
8. Mushroom dataset,Mushroom,GaussianCopula,10000.0,excel sheets/2. Privacy/8. Mushroom dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.3940570978261434,excel_sheets_privacy_mahalanobis_summary,0.2254726919414616,0.002146086828991257,8.674030931532393,0.6656111910637376
8. Mushroom dataset,Mushroom,TVAE,10000.0,excel sheets/2. Privacy/8. Mushroom dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.4330184728020023,excel_sheets_privacy_mahalanobis_summary,0.2391303192908091,0.002386147886231051,7.677494416667606,0.5819500932247141
1. Cancer,Cancer,CopulaGAN,,Generators/SDV models/1. Cancer.ipynb,One-to-One Greedy,Mahalanobis Distance,134.275819,notebook_output_summary_table,,,,
9. MAGIC Gamma Telescope,MAGIC,TVAE,,Generators/SDV models/9. MAGIC Gamma Telescope.ipynb,One-to-One Greedy,Mahalanobis Distance,1.25837,notebook_output_summary_table,,,,
9. MAGIC Gamma Telescope,MAGIC,GaussianCopula,,Generators/SDV models/9. MAGIC Gamma Telescope.ipynb,One-to-One Greedy,Mahalanobis Distance,1.948976,notebook_output_summary_table,,,,
9. MAGIC Gamma Telescope,MAGIC,CopulaGAN,,Generators/SDV models/9. MAGIC Gamma Telescope.ipynb,One-to-One Greedy,Mahalanobis Distance,2.200845,notebook_output_summary_table,,,,
