dataset_id,problem_type,generator,seed,batch,batch_label
adult,classification,ForestDiffusion,68,2nd_batch,2nd batch
adult,classification,GaussianCopula,68,2nd_batch,2nd batch
adult,classification,TVAE,68,2nd_batch,2nd batch
adult,classification,TabDDPM,68,2nd_batch,2nd batch
adult,classification,WGAN_GP,68,2nd_batch,2nd batch
alzhimers,classification,CTABGAN,68,2nd_batch,2nd batch
alzhimers,classification,CTGAN,68,2nd_batch,2nd batch
alzhimers,classification,CopulaGAN,68,2nd_batch,2nd batch
alzhimers,classification,ForestDiffusion,68,2nd_batch,2nd batch
alzhimers,classification,GaussianCopula,68,2nd_batch,2nd batch
alzhimers,classification,TVAE,68,2nd_batch,2nd batch
alzhimers,classification,TabDDPM,68,2nd_batch,2nd batch
alzhimers,classification,WGAN_GP,68,2nd_batch,2nd batch
bank,classification,CTABGAN,68,2nd_batch,2nd batch
bank,classification,CTGAN,68,2nd_batch,2nd batch
bank,classification,CopulaGAN,68,2nd_batch,2nd batch
bank,classification,ForestDiffusion,68,2nd_batch,2nd batch
bank,classification,GaussianCopula,68,2nd_batch,2nd batch
bank,classification,TVAE,68,2nd_batch,2nd batch
bank,classification,TabDDPM,68,2nd_batch,2nd batch
bank,classification,WGAN_GP,68,2nd_batch,2nd batch
cancer,classification,CTABGAN,68,2nd_batch,2nd batch
cancer,classification,CTGAN,68,2nd_batch,2nd batch
cancer,classification,CopulaGAN,68,2nd_batch,2nd batch
cancer,classification,ForestDiffusion,68,2nd_batch,2nd batch
cancer,classification,GaussianCopula,68,2nd_batch,2nd batch
cancer,classification,TVAE,68,2nd_batch,2nd batch
cancer,classification,TabDDPM,68,2nd_batch,2nd batch
cancer,classification,WGAN_GP,68,2nd_batch,2nd batch
cdc_diabetes,classification,CTABGAN,68,2nd_batch,2nd batch
cdc_diabetes,classification,CTGAN,68,2nd_batch,2nd batch
cdc_diabetes,classification,CopulaGAN,68,2nd_batch,2nd batch
cdc_diabetes,classification,ForestDiffusion,68,2nd_batch,2nd batch
cdc_diabetes,classification,GaussianCopula,68,2nd_batch,2nd batch
cdc_diabetes,classification,TVAE,68,2nd_batch,2nd batch
cdc_diabetes,classification,TabDDPM,68,2nd_batch,2nd batch
cdc_diabetes,classification,WGAN_GP,68,2nd_batch,2nd batch
forest_cover,classification,CTABGAN,68,2nd_batch,2nd batch
forest_cover,classification,CTGAN,68,2nd_batch,2nd batch
forest_cover,classification,CopulaGAN,68,2nd_batch,2nd batch
forest_cover,classification,ForestDiffusion,68,2nd_batch,2nd batch
forest_cover,classification,GaussianCopula,68,2nd_batch,2nd batch
forest_cover,classification,TVAE,68,2nd_batch,2nd batch
forest_cover,classification,TabDDPM,68,2nd_batch,2nd batch
forest_cover,classification,WGAN_GP,68,2nd_batch,2nd batch
magic,classification,CTABGAN,68,2nd_batch,2nd batch
magic,classification,CTGAN,68,2nd_batch,2nd batch
magic,classification,CopulaGAN,68,2nd_batch,2nd batch
magic,classification,ForestDiffusion,68,2nd_batch,2nd batch
magic,classification,GaussianCopula,68,2nd_batch,2nd batch
magic,classification,TVAE,68,2nd_batch,2nd batch
magic,classification,TabDDPM,68,2nd_batch,2nd batch
magic,classification,WGAN_GP,68,2nd_batch,2nd batch
mushroom,classification,CTABGAN,68,2nd_batch,2nd batch
mushroom,classification,CTGAN,68,2nd_batch,2nd batch
mushroom,classification,CopulaGAN,68,2nd_batch,2nd batch
mushroom,classification,ForestDiffusion,68,2nd_batch,2nd batch
mushroom,classification,GaussianCopula,68,2nd_batch,2nd batch
mushroom,classification,TVAE,68,2nd_batch,2nd batch
mushroom,classification,TabDDPM,68,2nd_batch,2nd batch
mushroom,classification,WGAN_GP,68,2nd_batch,2nd batch
wine,classification,CTABGAN,68,2nd_batch,2nd batch
wine,classification,CTGAN,68,2nd_batch,2nd batch
wine,classification,CopulaGAN,68,2nd_batch,2nd batch
wine,classification,ForestDiffusion,68,2nd_batch,2nd batch
wine,classification,GaussianCopula,68,2nd_batch,2nd batch
wine,classification,TVAE,68,2nd_batch,2nd batch
wine,classification,TabDDPM,68,2nd_batch,2nd batch
wine,classification,WGAN_GP,68,2nd_batch,2nd batch
air_quality,regression,CTABGAN,68,2nd_batch,2nd batch
air_quality,regression,CTGAN,68,2nd_batch,2nd batch
air_quality,regression,CopulaGAN,68,2nd_batch,2nd batch
air_quality,regression,ForestDiffusion,68,2nd_batch,2nd batch
air_quality,regression,GaussianCopula,68,2nd_batch,2nd batch
air_quality,regression,TVAE,68,2nd_batch,2nd batch
air_quality,regression,TabDDPM,68,2nd_batch,2nd batch
air_quality,regression,WGAN_GP,68,2nd_batch,2nd batch
concrete,regression,CTABGAN,68,2nd_batch,2nd batch
concrete,regression,CTGAN,68,2nd_batch,2nd batch
concrete,regression,CopulaGAN,68,2nd_batch,2nd batch
concrete,regression,ForestDiffusion,68,2nd_batch,2nd batch
concrete,regression,GaussianCopula,68,2nd_batch,2nd batch
concrete,regression,TVAE,68,2nd_batch,2nd batch
concrete,regression,TabDDPM,68,2nd_batch,2nd batch
concrete,regression,WGAN_GP,68,2nd_batch,2nd batch
energy_efficiency,regression,CTABGAN,68,2nd_batch,2nd batch
energy_efficiency,regression,CTGAN,68,2nd_batch,2nd batch
energy_efficiency,regression,CopulaGAN,68,2nd_batch,2nd batch
energy_efficiency,regression,ForestDiffusion,68,2nd_batch,2nd batch
energy_efficiency,regression,GaussianCopula,68,2nd_batch,2nd batch
energy_efficiency,regression,TVAE,68,2nd_batch,2nd batch
energy_efficiency,regression,TabDDPM,68,2nd_batch,2nd batch
energy_efficiency,regression,WGAN_GP,68,2nd_batch,2nd batch
metro,regression,CTABGAN,68,2nd_batch,2nd batch
metro,regression,CTGAN,68,2nd_batch,2nd batch
metro,regression,CopulaGAN,68,2nd_batch,2nd batch
metro,regression,ForestDiffusion,68,2nd_batch,2nd batch
metro,regression,GaussianCopula,68,2nd_batch,2nd batch
metro,regression,TVAE,68,2nd_batch,2nd batch
metro,regression,TabDDPM,68,2nd_batch,2nd batch
metro,regression,WGAN_GP,68,2nd_batch,2nd batch
online_shopping,regression,CTABGAN,68,2nd_batch,2nd batch
online_shopping,regression,CTGAN,68,2nd_batch,2nd batch
online_shopping,regression,CopulaGAN,68,2nd_batch,2nd batch
online_shopping,regression,ForestDiffusion,68,2nd_batch,2nd batch
online_shopping,regression,GaussianCopula,68,2nd_batch,2nd batch
online_shopping,regression,TVAE,68,2nd_batch,2nd batch
online_shopping,regression,TabDDPM,68,2nd_batch,2nd batch
online_shopping,regression,WGAN_GP,68,2nd_batch,2nd batch
real_estate,regression,CTABGAN,68,2nd_batch,2nd batch
real_estate,regression,CTGAN,68,2nd_batch,2nd batch
real_estate,regression,CopulaGAN,68,2nd_batch,2nd batch
real_estate,regression,ForestDiffusion,68,2nd_batch,2nd batch
real_estate,regression,GaussianCopula,68,2nd_batch,2nd batch
real_estate,regression,TVAE,68,2nd_batch,2nd batch
real_estate,regression,TabDDPM,68,2nd_batch,2nd batch
real_estate,regression,WGAN_GP,68,2nd_batch,2nd batch
