dataset,dataset_id,problem_type,generator,seed,batch,batch_label,metric_category,metric_name,metric_value,split_seed,n_synthetic_samples,n_train,n_test,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,task
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Compute,generation_time_seconds,0.0,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Compute,evaluation_time_seconds,6.379982613027096,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,TVAE,42,1st_batch,1st batch,Compute,total_time_seconds,18.96855022688396,42,1000,455,114,12.57795285712928,0,6.379982613027096,18.96855022688396,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Fidelity,Quality_Score,0.931154552368642,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Fidelity,KS_Complement,0.9201659340659342,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Fidelity,Wasserstein_Distance,3.709511765923111,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Fidelity,MMD,0.0173158059268259,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,Accuracy_TRTR,0.958187134502924,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,Accuracy_TSTR,0.7973684210526314,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,Accuracy_Gap,0.1608187134502925,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
