Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,Category,MetricValue,SourceFile
6. Wine dataset,TVAE,,fidelity,Quality_Score,0.94743,0.94743,,,,,,0.0,,,Fidelity,0.94743,Generators/SDV models/6. Wine quality.ipynb
6. Wine dataset,GaussianCopula,,fidelity,Quality_Score,0.951731,0.951731,,,,,,0.0,,,Fidelity,0.951731,Generators/SDV models/6. Wine quality.ipynb
5. Bank Markting,TabDDPM,,fidelity,Quality_Score,0.39863,0.39863,,,,,,0.0,,,Fidelity,0.39863,Generators/Diffusion GANs/5. Bank marketing_diffusion.ipynb
5. Bank Markting,ForestDiffusion,,fidelity,Quality_Score,0.830322,0.830322,,,,,,0.0,,,Fidelity,0.830322,Generators/Diffusion GANs/5. Bank marketing_diffusion.ipynb
5. Bank Markting,WGAN_GP,,fidelity,Quality_Score,0.766527,0.766527,,,,,,0.0,,,Fidelity,0.766527,Generators/Other GANS/5. Bank marketing_other GAN.ipynb
5. Bank Markting,CTABGAN,,fidelity,Quality_Score,0.895316,0.895316,,,,,,0.0,,,Fidelity,0.895316,Generators/Other GANS/5. Bank marketing_other GAN.ipynb
5. Bank Markting,GaussianCopula,,fidelity,Quality_Score,0.821755,0.821755,,,,,,0.0,,,Fidelity,0.821755,Generators/SDV models/5. Bank Marketing.ipynb
5. Bank Markting,TVAE,,fidelity,Quality_Score,0.828657,0.828657,,,,,,0.0,,,Fidelity,0.828657,Generators/SDV models/5. Bank Marketing.ipynb
5. Bank Markting,CopulaGAN,,fidelity,Quality_Score,0.845611,0.845611,,,,,,0.0,,,Fidelity,0.845611,Generators/SDV models/5. Bank Marketing.ipynb
5. Bank Markting,CTGAN,,fidelity,Quality_Score,0.867679,0.867679,,,,,,0.0,,,Fidelity,0.867679,Generators/SDV models/5. Bank Marketing.ipynb
4. Forest cover dataset,CopulaGAN,,fidelity,Quality_Score,0.85485,0.85485,,,,,,0.0,,,Fidelity,0.85485,Generators/SDV models/4.Forest cover.ipynb
4. Forest cover dataset,CTGAN,,fidelity,Quality_Score,0.861948,0.861948,,,,,,0.0,,,Fidelity,0.861948,Generators/SDV models/4.Forest cover.ipynb
4. Forest cover dataset,TVAE,,fidelity,Quality_Score,0.881179,0.881179,,,,,,0.0,,,Fidelity,0.881179,Generators/SDV models/4.Forest cover.ipynb
4. Forest cover dataset,GaussianCopula,,fidelity,Quality_Score,0.925026,0.925026,,,,,,0.0,,,Fidelity,0.925026,Generators/SDV models/4.Forest cover.ipynb
2. Alzhimers,TabDDPM,,fidelity,Quality_Score,0.435996,0.435996,,,,,,0.0,,,Fidelity,0.435996,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,ForestDiffusion,,fidelity,Quality_Score,0.735671,0.735671,,,,,,0.0,,,Fidelity,0.735671,Generators/Diffusion GANs/2. Alzhimers_diffusion.ipynb
2. Alzhimers,CTABGAN,,fidelity,Quality_Score,0.684233,0.684233,,,,,,0.0,,,Fidelity,0.684233,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,WGAN_GP,,fidelity,Quality_Score,0.782315,0.782315,,,,,,0.0,,,Fidelity,0.782315,Generators/Other GANS/2. Alzhimers_other GAN.ipynb
2. Alzhimers,CopulaGAN,,fidelity,Quality_Score,0.639551,0.639551,,,,,,0.0,,,Fidelity,0.639551,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,CTGAN,,fidelity,Quality_Score,0.686399,0.686399,,,,,,0.0,,,Fidelity,0.686399,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,TVAE,,fidelity,Quality_Score,0.744373,0.744373,,,,,,0.0,,,Fidelity,0.744373,Generators/SDV models/2. Alzhimers.ipynb
2. Alzhimers,GaussianCopula,,fidelity,Quality_Score,0.789691,0.789691,,,,,,0.0,,,Fidelity,0.789691,Generators/SDV models/2. Alzhimers.ipynb
1. Cancer,TabDDPM,,fidelity,Quality_Score,0.401382,0.401382,,,,,,0.0,,,Fidelity,0.401382,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,ForestDiffusion,,fidelity,Quality_Score,0.947885,0.947885,,,,,,0.0,,,Fidelity,0.947885,Generators/Diffusion GANs/1. Cancer_diffusion.ipynb
1. Cancer,CTABGAN,,fidelity,Quality_Score,0.851563,0.851563,,,,,,0.0,,,Fidelity,0.851563,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,fidelity,Quality_Score,0.949012,0.949012,,,,,,0.0,,,Fidelity,0.949012,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CopulaGAN,,fidelity,Quality_Score,0.721867,0.721867,,,,,,0.0,,,Fidelity,0.721867,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,,fidelity,Quality_Score,0.765081,0.765081,,,,,,0.0,,,Fidelity,0.765081,Generators/SDV models/1. Cancer.ipynb
1. Cancer,TVAE,,fidelity,Quality_Score,0.896421,0.896421,,,,,,0.0,,,Fidelity,0.896421,Generators/SDV models/1. Cancer.ipynb
1. Cancer,GaussianCopula,,fidelity,Quality_Score,0.943748,0.943748,,,,,,0.0,,,Fidelity,0.943748,Generators/SDV models/1. Cancer.ipynb
15. Real Estate Valuation,TabDDPM,,,JS_Divergence,,0.2444145999999999,,,,,,0.0,,Score,Fidelity,0.2444145999999999,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,ForestDiffusion,,,KS_Complement,,0.9445,,,,,,0.0,,Score,Fidelity,0.9445,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,TabDDPM,,,KS_Complement,,0.6593000000000001,,,,,,0.0,,Score,Fidelity,0.6593000000000001,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,TabDDPM,,,MMD_Multivariate,,0.134849,,,,,,0.0,,Score,Fidelity,0.134849,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,ForestDiffusion,,,MMD_Multivariate,,-0.000807,,,,,,0.0,,Score,Fidelity,-0.000807,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,ForestDiffusion,,,PCA_Correlation_Diff,,0.069516,,,,,,0.0,,Score,Fidelity,0.069516,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,TabDDPM,,,PCA_Correlation_Diff,,0.880434,,,,,,0.0,,Score,Fidelity,0.880434,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,ForestDiffusion,,,PCA_Mean_Error,,2.227323,,,,,,0.0,,Score,Fidelity,2.227323,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,TabDDPM,,,PCA_Mean_Error,,46.180834,,,,,,0.0,,Score,Fidelity,46.180834,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,TabDDPM,,,Cosine_Similarity,,-0.031771,,,,,,0.0,,Score,Fidelity,-0.031771,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,ForestDiffusion,,,Cosine_Similarity,,0.023181,,,,,,0.0,,Score,Fidelity,0.023181,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,TabDDPM,,,MMD,,0.230156,,,,,,0.0,,Score,Fidelity,0.230156,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,ForestDiffusion,,,MMD,,0.000787,,,,,,0.0,,Score,Fidelity,0.000787,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,ForestDiffusion,,,Gower_Distance,,0.76937,,,,,,0.0,,Score,Fidelity,0.76937,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,TabDDPM,,,Gower_Distance,,0.599162,,,,,,0.0,,Score,Fidelity,0.599162,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,TabDDPM,,,Wasserstein_Distance,,0.227584,,,,,,0.0,,Score,Fidelity,0.227584,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,ForestDiffusion,,,Wasserstein_Distance,,0.009755,,,,,,0.0,,Score,Fidelity,0.009755,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,WGAN_GP,,,JS_Divergence,,0.1768491999999999,,,,,,0.0,,Score,Fidelity,0.1768491999999999,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,WGAN_GP,,,KS_Complement,,0.7347,,,,,,0.0,,Score,Fidelity,0.7347,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,CTABGAN,,,KS_Complement,,0.9116,,,,,,0.0,,Score,Fidelity,0.9116,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
