Dataset,Generator,TaskType,Metric,Mean,SourceFile
13. Concrete Compressive Strength,ForestDiffusion,regression,MAE_Increase,0.8332244619311711,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,TabDDPM,regression,R2_Drop,0.08553946321900374,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,TabDDPM,regression,MSE_Increase,37.74069593468263,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,TabDDPM,regression,RMSE_Increase,2.059713575696543,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,TabDDPM,regression,MAE_Increase,1.749116337802792,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,WGAN_GP,regression,R2_Drop,0.1097215356574463,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,WGAN_GP,regression,MSE_Increase,9.00388942945957,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,WGAN_GP,regression,RMSE_Increase,1.761012566842093,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,WGAN_GP,regression,MAE_Increase,1.355368705347646,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,TVAE,regression,R2_Drop,0.1631499516509717,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,TVAE,regression,MSE_Increase,13.87912193809717,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,TVAE,regression,RMSE_Increase,2.287643699084748,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,TVAE,regression,MAE_Increase,1.579930685767153,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,GaussianCopula,regression,R2_Drop,0.3192124749335591,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,GaussianCopula,regression,MSE_Increase,27.18555174996163,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,GaussianCopula,regression,RMSE_Increase,3.631019040272311,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,GaussianCopula,regression,MAE_Increase,3.394268905457198,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CTGAN,regression,R2_Drop,1.060604919176239,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CTGAN,regression,MSE_Increase,94.56548212763497,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CTGAN,regression,RMSE_Increase,7.797706034351551,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CTGAN,regression,MAE_Increase,6.684907387423704,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CopulaGAN,regression,R2_Drop,1.325007786487796,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CopulaGAN,regression,MSE_Increase,115.4501257570267,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CopulaGAN,regression,RMSE_Increase,8.67372067927562,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CopulaGAN,regression,MAE_Increase,7.935073294330455,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CTABGAN,regression,R2_Drop,2.106683539745591,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CTABGAN,regression,MSE_Increase,182.6942652654298,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CTABGAN,regression,RMSE_Increase,11.55503794542738,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,CTABGAN,regression,MAE_Increase,10.38798408798155,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,ForestDiffusion,regression,R2_Drop,-0.00526476990513749,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,ForestDiffusion,regression,MSE_Increase,-0.5059237185965368,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,ForestDiffusion,regression,RMSE_Increase,-0.01187038141281506,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,ForestDiffusion,regression,MAE_Increase,-0.00915729754528466,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,TabDDPM,regression,R2_Drop,0.2690743304580023,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,TabDDPM,regression,MSE_Increase,26.50830256805671,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,TabDDPM,regression,RMSE_Increase,3.08289463538512,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,TabDDPM,regression,MAE_Increase,2.316169922712755,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,GaussianCopula,regression,R2_Drop,0.05565760067710157,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,GaussianCopula,regression,MSE_Increase,1.037034058251126,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
