,Dataset,Generator,LeakageLevel,UtilityScore,FidelityScore,PrivacyScore,OverallScore,OverallRank
78,4. Forest cover dataset,ForestDiffusion,0.0,0.5626977572168496,0.26544091033106304,0.8763213483716429,0.5676077804975517,2.0
82,4. Forest cover dataset,WGAN_GP,0.0,0.7181879269337887,0.4248212277676477,0.46160288576570774,0.5532024048335221,3.0
75,4. Forest cover dataset,CTABGAN,0.0,0.5874502001964688,0.5192243564114816,0.5104865887594332,0.5438933636298618,4.0
80,4. Forest cover dataset,TVAE,0.0,0.6829180441890268,0.39289818555206624,0.4636467413675577,0.530130695751498,5.0
81,4. Forest cover dataset,TabDDPM,0.0,0.5626977572168496,0.49256338400655697,0.1111111111111111,0.4061814514220402,6.0
76,4. Forest cover dataset,CTGAN,0.0,0.3533646087269,0.3394968472793412,0.46941833417498363,0.38402039792705744,7.0
77,4. Forest cover dataset,CopulaGAN,0.0,0.18950929843950629,0.34291088666411473,0.41935198749518326,0.30448258162359193,8.0
86,5. Bank Markting,ForestDiffusion,0.0,0.9165600599440646,0.42111610766968155,0.7609953554163833,0.7212574629034453,1.0
83,5. Bank Markting,CTABGAN,0.0,0.8131613783639727,0.4009700330137312,0.7277769762491424,0.6638886541244512,2.0
90,5. Bank Markting,WGAN_GP,0.0,0.6925360591872785,0.4624248671810442,0.5986680976153228,0.5953423131138215,3.0
85,5. Bank Markting,CopulaGAN,0.0,0.8160005019518308,0.28228729986567386,0.6124729713917137,0.5948282821579487,4.0
88,5. Bank Markting,TVAE,0.0,0.7472178334005812,0.3224360722589848,0.6377641119096121,0.5869471886108115,5.0
84,5. Bank Markting,CTGAN,0.0,0.7136730231400678,0.35273135348161205,0.608436950421904,0.573819700427082,6.0
87,5. Bank Markting,GaussianCopula,0.0,0.6853652922621989,0.25254896657186104,0.6038670345262533,0.5310709172343139,7.0
89,5. Bank Markting,TabDDPM,0.0,0.6399523407791956,0.6360722945014263,0.25,0.5218026246621061,8.0
94,6. Wine dataset,ForestDiffusion,0.0,0.7968726495411572,0.43752145758595923,0.7413926674683837,0.6724232973327657,1.0
96,6. Wine dataset,TVAE,0.0,0.5622602659688032,0.4305758275292621,0.8110636042180024,0.5973959359117006,2.0
98,6. Wine dataset,WGAN_GP,0.0,0.46678747431477996,0.4964060145222122,0.5135636904555734,0.4897059012192476,3.0
91,6. Wine dataset,CTABGAN,0.0,0.3570438124691106,0.48588876292430616,0.506627702764401,0.44057246469425637,4.0
97,6. Wine dataset,TabDDPM,0.0,0.3433904189650256,0.5784847153667737,0.3258427207565483,0.4086543984230068,5.0
93,6. Wine dataset,CopulaGAN,0.0,0.21643070861539931,0.37351330779900455,0.5159171848497703,0.35340143124079215,6.0
95,6. Wine dataset,GaussianCopula,0.0,0.3448321851872689,0.3076396792826597,0.3120669084556046,0.32384485039638683,7.0
92,6. Wine dataset,CTGAN,0.0,0.1495469103212902,0.3729486859520132,0.4884600177183834,0.318241375229635,8.0
104,7. CDC diabetes dataset,TVAE,0.0,0.6675373547479668,0.46995481109178827,0.866630818246679,0.667990630700727,1.0
